epoch,train_loss,val_loss,train_acc,val_acc
1,1.228888862850991,0.9310742580529415,0.6600950118764846,0.6330798479087453
2,0.7911299537077094,0.7250874981735692,0.7684085510688836,0.7395437262357415
3,0.597762078780568,0.6355794379205415,0.8239904988123515,0.7623574144486692
4,0.4669693023474379,0.5992892104567904,0.8422802850356295,0.7699619771863118
5,0.37006797999933816,0.5620432505101869,0.915439429928741,0.7984790874524715
6,0.2875661932383523,0.5463841286572543,0.9467933491686461,0.8041825095057035
7,0.22896319786510008,0.5976179779478998,0.9434679334916865,0.7946768060836502
8,0.1770354062318802,0.6277523085926519,0.961520190023753,0.7927756653992395
9,0.14663066454302293,0.634564311441147,0.9764845605700713,0.8060836501901141
10,0.1239155821685651,0.6522796149506713,0.9750593824228029,0.7927756653992395
